Grossratswahlen 2018 / Election du Grand Conseil 2018
Sitzverteilung und Wähleranteile / Répartition des sièges et pourcentage des voix
Wahlkreis / Cercle électoral: Oberland
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
13;Benz-Mattman;Angela;1963;Hotelière, Restauratrice HF;Interlaken;1'783;

Liste;7;Schweizerische Volkspartei Frutigen-Niedersimmental
Kürzel / Sigle;SVP Frutigen-Niedersimmental;
Sitze / Sièges;4;
Kandidatenstimmen /Total des suffrages nominatifs;48896;
Zusatzstimmen / Suffrages complémentaires;23963;
Parteistimmen / Total des suffrages de parti;72859;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Knutti;Thomas;1973;Landwirt, Berufsfahrer;Weissenburg;8'395;x
2;Josi;Barbara;1965;Leiterin Administration, Gemeinderatspräsidentin;Wimmis;4'548;
3;Zimmermann;Kurt;1953;Unternehmer;Frutigen;4'279;
4;Wandfluh;Ernst;1976;Bergbauer;Kandergrund;4'004;
Stimmen haben erhalten/Ont obtenu des suffrages
5;Klossner;Thomas;1974;Bauführer, Gemeinderat;Latterbach;3'450;
6;Bütschi;Peter;1964;Betontechnologe FA HTA Luzern;Frutigen;3'342;
7;Wiedmer;Martin;1973;Landwirt, Gemeinderatspräsident;Zwischenflüh;2'992;
8;Reichenbach;Daniel;1975;Dipl. Betriebsökonom FH, Gemeinderat;Aeschi b. Spiez;2'466;
9;Fiechter;Nils;1996;Kaufmann, Co-Präsident JSVP Kanton Bern;Frutigen;2'224;
10;Buchser;Rudolf;1962;Geschäftsführer, Gemeinderat;Adelboden;2'083;
11;Schneider;Rudolf;1964;Landwirt, Gemeinderat;Reichenbach;2'045;
12;von Allmen;Daniel;1947;pens. Lehrer, Gemeindepräsident;Adelboden;2'038;
13;Kallen;Urs;1956;Bereichsleiter Dienste;Frutigen;1'953;
14;Zimmermann;Ulrich;1967;Unternehmer, Gemeinderat;Spiez;1'888;
15;Rindlisbacher;Sven;1965;Gärtnermeister, Mitglied GGR;Faulensee;1'675;
16;Lörtscher;Martin;1974;Leiter Projektmanagement, Gemeinderat;Wimmis;1'514;

Liste;8;Schweizerische Volkspartei Obersimmental-Saanen
Kürzel / Sigle;SVP Obersimmental-Saanen;
Sitze / Sièges;1;
Kandidatenstimmen /Total des suffrages nominatifs;24304;
Zusatzstimmen / Suffrages complémentaires;11453;
Parteistimmen / Total des suffrages de parti;35757;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Speiser-Niess;Anne;1961;Familienfrau, Projektberaterin;Zweisimmen;4'910;x
Stimmen haben erhalten/Ont obtenu des suffrages
2;Wyssen;Kilian;1960;Unternehmer, Bergbauer;Matten b. St. Stephan;3'936;
3;Bach;Albert;1959;Unternehmer;Gstaad;3'754;
4;Bieri;Adrian;1976;Landwirt, Agro Ing. FH;Boltigen;2'892;
5;Raaflaub;Emanuel;1962;Landwirt, Skilehrer;Turbach;2'681;
6;Brunner;Matthias;1967;Notar und Fürsprecher;Gstaad;2'530;
7;Oehrli-Pekoll;Ruth;1964;Schneesportlehrerin, Schneiderin;Lauenen;1'837;
8;Maier-Rindlisbacher;Susanna;1970;Bäuerin, Hausfrau;Boltigen;1'764;

Liste;9;BDP
Kürzel / Sigle;BDP;
Sitze / Sièges;1;
Kandidatenstimmen /Total des suffrages nominatifs;23488;
Zusatzstimmen / Suffrages complémentaires;5252;
Parteistimmen / Total des suffrages de parti;28740;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Luginbühl-Bachmann;Anita;1960;dipl. KMU Geschäftsfrau SIU, Grossrätin;Krattigen;6'012;x
Stimmen haben erhalten/Ont obtenu des suffrages
2;Martinelli;Enea;1965;Eidg. dipl. Apotheker FPH Spitalpharmazie;Matten b. Interlaken;5'034;
3;Matti;Matthias;1970;Dipl. Betriebsökonom, Chef Projektsteuerung Immobilien Streitkräftebasis;Zweisimmen;2'471;
4;Hodel;Ernst;1949;Schriftsetzer, Gemeinderatspräsident;Zweisimmen;2'436;
5;Martinelli;Alessandra;1994;Masterstudentin Anglistik und Soziolinguistik;Matten b. Interlaken;2'302;
6;Wirz;Therese;1965;Betriebsökonomin HF, Pharma-Assistentin;Brienz;1'912;
7;Urfer;Jan;1982;Unternehmer SensoPro, Sportwissenschaftler;Spiez;1'888;
8;Weber;Stephan;1962;Unternehmensberater, Auditor;Spiez;1'433;

