Grossratswahlen 2018 / Election du Grand Conseil 2018
Sitzverteilung und Wähleranteile / Répartition des sièges et pourcentage des voix
Wahlkreis / Cercle électoral: Mittelland-Süd
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
13;Burri;Adrian;1973;Pilot;Wichtrach;1'015;
14;Messerli;Daniel;1962;Info-Security Consultant, Auditor;Schwarzenburg;1'014;
15;Brügger;Ernst;1954;Storenmonteur;Wichtrach;986;
16;Baumgartner;Peter;1953;Betriebstechniker BW, Gemeinderat;Wichtrach;983;
17;Kern;Markus;1960;Schreiner;Münsingen;977;
18;Kipfer;Robert;1947;Feinmechaniker;Kehrsatz;975;
19;Jordi;Timothée;1983;Druckkaufmann, Verkauf Innendienst;Belp;942;
20;Tanner;Jonathan;1980;Informatiker, Elektromonteur;Münsingen;881;

Liste;5;Grünliberale
Kürzel / Sigle;glp;
Sitze / Sièges;2;
Kandidatenstimmen /Total des suffrages nominatifs;37636;
Zusatzstimmen / Suffrages complémentaires;4450;
Parteistimmen / Total des suffrages de parti;42086;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Brönnimann;Thomas;1968;mag.rer.pol., Gemeinderat;Mittelhäusern;3'554;x
2;Trüssel;Daniel;1970;Unternehmer;Trimstein;2'919;x
Stimmen haben erhalten/Ont obtenu des suffrages
3;von Arx;Casimir;1981;Mathematiker, Mitglied Parlament;Köniz;2'252;
4;Thür;Barbara;1963;Tierärztin;Liebefeld;2'229;
5;Röthlisberger;Sandra;1983;Architektin FH;Liebefeld;2'171;
6;Hartmann;Marianne;1967;Juristin, Familienfrau;Zäziwil;2'054;
7;Gurzeler;Fernanda;1983;Kommunikationsverantwortliche, lic. internationale Beziehungen;Wabern;2'046;
8;Denkinger;Helena;1952;Pensionierte Schulleiterin;Münsingen;1'971;
9;Berger;Silvia;1979;Umweltexpertin;Belp;1'814;
10;Hauser;Andreas;1971;Umweltökonom;Mittelhäusern;1'733;
11;Ammon;Daniel;1961;El.Ing.HTL, BWL/NDS;Konolfingen;1'712;
12;Praz;Ursula;1970;Marketingfachfrau und Hausfrau;Konolfingen;1'696;
13;Oestreicher;Andreas;1955;Geschäftsführer, Mitglied Gemeindeparlament;Münsingen;1'694;
14;Berger;Simon;1972;Geograf, Ingenieur;Münsingen;1'683;
15;Lombard-Martin;Pierre Marc;1957;Selbständig, Geschäftsführer;Belp;1'679;
16;Gisler;Peter;1985;Social Media Manager;Schliern bei Köniz;1'641;
17;Born;Cornelia Esther;1976;Med. Praxisassistentin (MPA) und Leiterin Eltern-Kindertreff;Belp;1'623;
18;Härri;Roger;1963;Bodenleger;Trimstein;1'619;
19;Kneubühl;Patrik Charles;1970;Fürsprecher;Mühlethurnen;1'546;

Liste;6;Junge Grünliberale
Kürzel / Sigle;jglp;
Sitze / Sièges;0;
Kandidatenstimmen /Total des suffrages nominatifs;7962;
Zusatzstimmen / Suffrages complémentaires;542;
Parteistimmen / Total des suffrages de parti;8504;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Stimmen haben erhalten/Ont obtenu des suffrages
1;Buri;Simon;1996;BWL-Student, Gemeinderat;Konolfingen;1'296;
2;Graber;Stephanie;1987;Juristin;Bern;787;
3;Bühlmann;Anita;1990;Marketing- und Verkaufsfachfrau FA;Wichtrach;745;
4;Schneeberger;Christian;1989;Junior Berater Energiewirtschaft;Ostermundigen;665;
5;Brönnimann;Lucas;1993;Fachrichter, Student Rechtswissenschaften;Gasel;580;
