"Wahlkreis","Gemeinde_Nr","Storyboard","Text_de"
"Jura bernois",696,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",700,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",701,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",703,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",704,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",706,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",707,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",708,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",709,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",711,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",713,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",715,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",716,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",717,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",723,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",724,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",726,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Mittelland-Nord",307,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",352,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",353,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",354,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",356,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",358,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",359,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",360,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",361,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",362,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",363,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",403,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",535,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",536,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",538,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",540,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",541,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",543,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",544,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",546,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",551,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",553,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",557,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",627,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",630,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",662,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",663,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
